시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수,인센티브제 도입 여부
전라남도 여수시,85799.5,274765,23706,0.553665171,0.015194303,0.011841855,37323,0.329804744,0.673892235,8694,0.032423482,9016,500,0.030375048,0,0.638,0.5758,154,116,0
전라남도 영광군,13058.3,52197,3055,0.226181462,0.038172019,0.011135362,34110,0.373791813,0.588520413,1879,0.038095817,945,277,0.023947737,1,0.674,0.6135,61,24,0
전라남도 영암군,9324,52395,14562,0.305673991,0.019473598,0.010864218,33332,0.413947196,0.621566943,7531,0.133796436,1267,460,0.038095238,16,0.719,0.6442,10,11,0
전라남도 완도군,8252.3,47597,1388,0.098251732,0.024127044,0.013807078,32194,0.377880401,0.560644578,3847,0.082090348,737,290,0.08403891,0,0.703,0.5979,18,0,0
전라남도 장성군,7325.5,43146,6088,0.187158239,0.024691358,0.003720616,33224,0.336433846,0.591943633,1995,0.049545522,618,280,0.008111992,0,0.677,0.6443,65,18,0
전라남도 장흥군,4195.8,35650,1507,0.130601093,0.030297511,0.006375228,32941,0.40564663,0.554922861,1174,0.034901005,544,460,0.011781206,0,0.735,0.5905,30,10,0
전라남도 진도군,6886,29507,488,0.092317861,0.020490599,0.011383666,32289,0.409077556,0.560680516,2502,0.0864398,599,260,0.042023927,0,0.765,0.6106,21,7,0
전라남도 함평군,4880.4,30784,1988,0.073046762,0.013505664,0.006099332,32864,0.403790299,0.543756497,1390,0.047851831,483,220,0.032484408,0,0.701,0.5906,32,7,0
전라남도 해남군,10004.3,65831,2978,0.170611743,0.012467124,0.004337876,32280,0.385012126,0.567012502,2892,0.046375882,998,430,0.021691908,0,0.711,0.5654,1,7,0
전라남도 화순군,8392,62024,3203,0.430035937,0.009835445,0.001626631,33733,0.36254965,0.627789243,1883,0.031476714,1298,380,0.032890494,0,0.671,0.624,27,126,0
전라북도 고창군,4940,52338,1699,0.142599429,0.045980869,0.012879678,33373,0.384628293,0.5522947,2099,0.041331916,895,500,0,3,0.702,0.6072,80,121,0
전라북도 군산시,65639.4,262467,22267,0.609394998,0.026488291,0.007610087,35191,0.363433533,0.672335951,10421,0.039112289,6072,360,0.002857502,37,0.577,0.5511,61,45,0
전라북도 김제시,14319.3,81455,10883,0.286762646,0.023163968,0.005069744,32364,0.366982242,0.582026886,3486,0.044534154,1333,280,0.007353754,2,0.662,0.5857,15,16,0
전라북도 남원시,15536,77948,2598,0.325943957,0.01199687,0.007215509,33484,0.36529601,0.600977575,2158,0.028674311,1291,330,0.007184277,1,0.674,0.6407,7,38,0
전라북도 부안군,10516.5,50094,2422,0.225289601,0.012294173,0.013048689,32285,0.378545116,0.566235477,1742,0.036772777,1268,380,0.025731625,2,0.725,0.5767,24,4,0
전라북도 순창군,4437.5,26727,1179,0.117240791,0.021060709,0.009379263,32827,0.368008186,0.559845849,877,0.034692828,346,420,0.044898417,2,0.718,0.6263,29,5,0
전라북도 익산시,38122.5,273697,23287,0.559530232,0.019006515,0.024417977,34189,0.367398431,0.676309934,8862,0.031989315,5866,320,0.010621234,7,0.607,0.5466,167,234,0
전라북도 임실군,1935,26508,1664,0.130055704,0.012674578,0.008799548,32550,0.418987648,0.53738494,843,0.033825536,525,360,0.045269353,2,0.722,0.6389,76,92,0
전라북도 장수군,8735,21336,694,0.078586498,0.023628692,0.011708861,32718,0.37964135,0.551509186,844,0.042124176,302,360,0.021091114,5,0.771,0.6356,10,9,0
전라북도 전주시,94251.2,651495,12087,0.62263464,0.014249607,0.017915407,73447,0.358841932,0.709079885,15144,0.0227427,17749,460,0,1,0.612,0.4908,1106,628,0
제주특별자치도 서귀포시,42595.2,184770,2273,0.220495579,0.106329751,0.068089162,36174,0.34200773,0.666818206,10276,0.056744011,13178,700,0.009731017,4,0.749,0.6853,329,103,0
제주특별자치도 제주시,94308.5,493389,8342,0.269766839,0.087598479,0.123108278,35398,0.330551085,0.704713725,21021,0.042442573,24145,700,0.001309312,3,0.706,0.6853,629,209,0
충청남도 계룡시,8311.7,44475,888,0.82900536,0.006134604,0.01858249,40162,0.256223943,0.717144463,451,0.01063278,825,470,0.008094435,0,0.554,0.6968,16,37,0
충청남도 공주시,16885.3,102571,9361,0.350903004,0.017441737,0.022153991,33347,0.387279046,0.629758899,3874,0.036534073,2722,320,0.061528112,0,0.619,0.6013,323,323,0
충청남도 금산군,9562.9,50092,10659,0.191535983,0.021611171,0.040257787,32440,0.388356606,0.578755091,3934,0.075077769,774,210,0.029944901,2,0.643,0.6362,110,34,0
충청남도 논산시,29773,112617,10236,0.308484357,0.020850214,0.020277081,32927,0.376133916,0.616141435,7390,0.063242392,2289,470,0,1,0.624,0.6033,390,26,0
충청남도 당진시,37731.4,168253,35338,0.447795918,0.022340136,0.042571429,38080,0.371687075,0.665230338,10255,0.0599035,4037,510,0.020683138,5,0.71,0.6325,316,105,0
충청남도 보령시,30058.8,97157,5027,0.368781807,0.02780707,0.018545688,34103,0.357732337,0.621128689,4903,0.050802499,2640,380,0.010292619,0,0.634,0.609,368,55,0
충청남도 부여군,8765.3,62343,1772,0.150285574,0.028697572,0.02596447,32160,0.364939206,0.550069775,2567,0.041752737,966,400,0,0,0.665,0.5849,493,21,0
충청남도 서산시,35358,176413,22192,0.504176377,0.020449844,0.047720667,38260,0.343104396,0.67116369,7817,0.04392881,3671,460,0.005668516,3,0.709,0.6077,906,57,0
충청남도 아산시,57372.1,334539,96304,0.620982133,0.01051524,0.024094758,38622,0.355705175,0.707002771,34048,0.093745268,8914,350,0.018861777,11,0.661,0.5206,705,161,0
충청남도 예산군,14720.9,77385,9871,0.2902746,0.032065217,0.043878719,33803,0.359010297,0.587581573,3895,0.050606104,1742,400,0.012922401,0,0.707,0.6013,274,115,0
충청남도 천안시,142375.2,657559,86395,0.610278492,0.016760981,0.035003635,74542,0.37601778,0.741976005,35461,0.051545822,17848,500,0,0,0.661,0.5525,3590,930,0
충청남도 청양군,4376.1,30266,2191,0.106616585,0.019069633,0.027737648,32718,0.373519214,0.555772154,1339,0.044991768,487,400,0.071697615,3,0.764,0.6157,6,36,0
충청남도 태안군,8606.2,61335,845,0.196034627,0.02527227,0.056094666,33446,0.386274784,0.583696095,2620,0.043195832,1972,350,0.2225483,12,0.72,0.6108,224,17,0
충청남도 홍성군,19560.1,98068,5056,0.402822337,0.014204678,0.03722044,35351,0.350188311,0.625698495,4496,0.044808101,2108,400,0.030805156,4,0.695,0.5987,123,12,0
충청북도 괴산군,6614,37055,3986,0.071503622,0.01183432,0.022839131,32055,0.413150473,0.566590204,1730,0.045730901,671,280,0.053973823,1,0.673,0.6057,16,3,0
충청북도 단양군,11283,27767,1997,0.184555985,0.053127413,0.01953668,32754,0.388339768,0.58796413,509,0.019232222,770,300,0.010804192,0,0.682,0.6747,3,15,0
충청북도 보은군,8425,31455,3674,0.178346995,0.015505465,0.015368853,32679,0.384016393,0.555841679,1193,0.038941115,618,270,0.031950405,0,0.692,0.6765,17,5,0
충청북도 영동군,10102,44956,2323,0.174247215,0.033224692,0.027241329,32934,0.379627378,0.576363555,1651,0.03768288,652,370,0.051161135,0,0.647,0.6419,64,0,0
충청북도 옥천군,14150.7,49520,5830,0.26106607,0.021340043,0.043565371,32394,0.32229056,0.591902262,1614,0.033615896,1020,270,0.027705977,0,0.669,0.6627,22,10,0
충청북도 음성군,17662.8,92058,39973,0.420730254,0.018113351,0.038848372,33348,0.409576243,0.669132503,15402,0.15016965,2644,640,0.017000152,0,0.734,0.605,1,13,0
충청북도 제천시,32261.6,130988,7918,0.501315187,0.028170448,0.015018582,34380,0.36660614,0.655861606,3181,0.024387439,3045,300,0.012650014,0,0.633,0.623,162,66,0
충청북도 증평군,9896.5,37262,4888,0.572426249,0.021252258,0.012642986,34870,0.383925346,0.681954807,1767,0.046773254,753,280,0.005367398,11,0.661,0.6126,12,6,0
충청북도 진천군,18153.7,86147,30681,0.524346856,0.030878292,0.04423322,35542,0.371123619,0.690354859,10913,0.117124949,1882,640,0.018572905,10,0.716,0.6446,39,42,0
충청북도 청주시,172644.1,849573,88491,0.596283511,0.011238565,0.014439042,149215,0.361703058,0.721088123,25901,0.030170064,21251,600,0,90,0.659,0.5676,985,969,0
충청북도 충주시,41319.7,208277,23496,0.485425986,0.026599397,0.040611672,34448,0.380952876,0.673799795,8730,0.040457311,6126,470,0.024251358,6,0.651,0.6125,554,42,0
