시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수,인센티브제 도입 여부
강원도 화천군,10959.3,23388,322,0.250924353,0.034675727,0.018686919,33350,0.377335865,0.645330939,526,0.023331116,316,230,0,3,0.739,0.6952,6,1,0
강원도 횡성군,8578.4,46532,5483,0.203980837,0.014076159,0.019410283,33166,0.3439028,0.599329494,1770,0.039452568,1635,400,0,9,0.692,0.6563,0,5,0
경기도 가평군,20060,62150,1584,0.183064396,0.057784252,0.103765128,33756,0.375915135,0.631552695,2108,0.035277383,4233,500,0.025132743,7,0.625,0.6495,87,319,0
경기도 고양시,113440.3,1076535,27031,0.628783111,0.026736846,0.082396495,120419,0.282999123,0.733501465,21712,0.020792115,25833,710,0.00019507,0,0.626,0.5531,809,2344,0
경기도 과천시,12090.4,78137,325,0.626509177,0.010279221,0.087354689,49748,0.187231339,0.71341362,587,0.007996622,1934,440,0,0,0.605,0.5799,76,185,0
경기도 광명시,46399.8,287945,14285,0.664547695,0.008330378,0.137242063,38492,0.254067425,0.723165882,7026,0.024736736,6623,500,0.006945771,0,0.61,0.5703,163,230,0
경기도 광주시,62861.1,391462,43456,0.339357206,0.025390689,0.368030665,36392,0.262294008,0.721017621,18771,0.047772354,8138,560,0.001788168,3,0.675,0.5547,329,494,0
경기도 구리시,39766.1,188701,2942,0.630953834,0.026940546,0.067792014,37659,0.278665853,0.733297651,2697,0.014648533,4545,510,0,15,0.631,0.5306,928,146,0
경기도 군포시,46287.5,266213,27995,0.683513123,0.010825146,0.104334777,37770,0.28447389,0.73725175,11115,0.041512605,5999,900,0.001690376,0,0.625,0.5757,1893,522,0
경기도 김포시,81420.1,484267,74269,0.722824355,0.027514513,0.038520319,38904,0.269366815,0.699717305,30716,0.062526336,10382,720,0.001943143,62,0.637,0.5319,1108,871,0
경기도 남양주시,103143.2,737353,31614,0.7047388,0.03950637,0.08624333,37199,0.240682614,0.707392524,13836,0.01921971,14581,740,0.004741284,22,0.614,0.5657,1097,1695,0
경기도 동두천시,20681.5,91546,4645,0.52044394,0.052087275,0.150107201,32077,0.352881826,0.673890722,5118,0.054364683,2329,550,0.006772552,0,0.584,0.5695,346,27,0
경기도 부천시,118899,790128,59294,0.474750519,0.018875506,0.253910554,105315,0.291366489,0.738395551,46267,0.057109741,17514,600,0,14,0.625,0.5359,10891,519,0
경기도 성남시,168552.2,922518,36803,0.497047948,0.027484256,0.086748596,123703,0.333657647,0.729738607,27968,0.030914457,28970,500,0,18,0.637,0.6548,54151,891,0
경기도 시흥시,77222.2,512912,85244,0.677218784,0.007435248,0.106697017,35623,0.313546108,0.753569813,61819,0.110853688,11520,530,0,39,0.67,0.5252,1095,949,0
경기도 안산시,108792.3,641660,117358,0.417711246,0.029112949,0.240501994,68035,0.337981974,0.770565408,92525,0.12938967,14709,500,0.004789141,0,0.652,0.5552,4542,2172,0
경기도 양주시,43626.8,243432,29832,0.698872373,0.016102853,0.069569024,33987,0.281095165,0.695915081,11634,0.047877528,5279,600,0,0,0.608,0.5811,546,154,0
경기도 양평군,12101.7,122323,1443,0.145237247,0.028552772,0.08427322,36388,0.328762515,0.624862046,2949,0.025215904,3229,560,0,8,0.574,0.5743,103,409,0
경기도 연천군,8773.1,42062,2528,0.271178162,0.053291366,0.059206599,33767,0.369566397,0.618943464,1591,0.038534199,945,560,0.001283819,0,0.635,0.627,433,17,0
경기도 오산시,27661.7,229849,13325,0.65944614,0.014362009,0.06887166,37230,0.357184098,0.74536326,18727,0.077194183,5173,480,0,0,0.668,0.5633,1889,209,0
경기도 용인시,130656.1,1074971,59590,0.675641665,0.026471468,0.078360329,126848,0.254605034,0.714796027,30246,0.02841334,23960,660,0,78,0.614,0.5858,5658,5351,0
경기도 의왕시,21167.1,160221,9349,0.746410773,0.010561405,0.095283673,40536,0.23451269,0.727251734,2104,0.013374185,3669,680,0.004131793,4,0.6,0.5961,1179,301,0
