시군구,종량제,인구수,1인가구비율,15_64세인구율,외국인수,외국인비율,아파트,연립주택,다세대주택,소득수준,경제활동참가율,재정자주도,제조업종사자수,음식점업종사자수,20ℓ가격,인센티브제도입,일제대청소참여율,청결유지책임제이행실적,공무원단속건수,주민신고건수
경상남도 합천군,7751.7,42142,0.436534324,0.521878411,1239,0.029400598,0.0826814004,0.0308527283,0.0207314688,32441,0.704,0.6357,990,510,350,0,0.0622894025,1,14,6
경상북도 경산시,49423.4,267725,0.388719758,0.702930246,17042,0.0636548697,0.550682968,0.00699880803,0.0209078316,32768,0.605,0.5762,32397,5879,430,0,0.00194229153,8,115,87
경상북도 경주시,71177.3,249607,0.375756298,0.655085795,18261,0.073159006,0.40133653,0.0241664252,0.0466907277,34597,0.619,0.5803,36689,7762,350,0,0.00379797041,0,168,191
경상북도 고령군,8380.9,30353,0.381544311,0.587322505,2427,0.0799591474,0.241444867,0.0130886224,0.0334893244,32335,0.664,0.5864,8835,467,360,1,0.0171317497,0,69,0
경상북도 구미시,89865.9,408110,0.353644247,0.746411507,8495,0.0208154664,0.591842101,0.0180168851,0.0406122997,37729,0.637,0.5867,82844,8527,600,0,0,0,886,276
경상북도 군위군,7006,23340,0.41868574,0.524378749,772,0.0330762639,0.0514975414,0.0117121144,0.0244076889,35221,0.723,0.65,1723,323,240,0,0.00642673522,5,18,14
경상북도 김천시,20843.9,139324,0.360411244,0.640262984,4546,0.0326289799,0.447211172,0.017337066,0.0125075717,33378,0.658,0.5918,12834,2705,350,0,0.00165082829,0,101,60
경상북도 문경시,22922.4,70373,0.37140322,0.588847996,1579,0.0224375826,0.218658892,0.0350488021,0.0383128407,32869,0.651,0.6694,3174,1175,270,1,0.00710499766,0,117,23
경상북도 봉화군,9572.9,30139,0.392052236,0.540362985,823,0.0273068118,0.102436284,0.0384048304,0.0185354209,33081,0.764,0.6524,1596,377,250,0,0,1,52,0
경상북도 상주시,20929.9,94823,0.382470666,0.57880472,2657,0.0280206279,0.249148007,0.00674732966,0.0244962375,32430,0.683,0.6387,4140,1238,290,0,0.00527298229,0,6,0
경상북도 성주군,7498.2,42566,0.374228559,0.584198656,2553,0.0599774468,0.0633113428,0.0134603107,0.0158544371,34154,0.677,0.6426,8646,752,300,0,0.0224827327,0,47,10
경상북도 안동시,32817.8,154610,0.39640955,0.631938426,3133,0.0202638898,0.432105461,0.0149208071,0.0134885209,31230,0.618,0.6331,4139,3229,300,1,0.00355733782,0,320,0
경상북도 영덕군,15189.4,34650,0.433983452,0.52952381,1672,0.0482539683,0.0814420804,0.043321513,0.0363475177,32071,0.636,0.6271,866,806,250,0,0,0,9,0
경상북도 영양군,4032,16022,0.41066598,0.53657471,558,0.0348271127,0.0472755378,0.0135256988,0.0494654129,34151,0.777,0.7162,286,120,200,0,0.0312070903,0,3,15
경상북도 영주시,29269.8,100749,0.362733569,0.610060646,2166,0.0214989727,0.352606821,0.0295526809,0.0277886668,32993,0.627,0.6355,5383,2105,390,1,0.0552065033,0,797,0
경상북도 영천시,21420.7,101088,0.386729469,0.611694761,4754,0.0470283318,0.3715187,0.0168960525,0.0207635633,35307,0.677,0.6525,15270,1480,360,0,0.011811491,0,81,0
경상북도 예천군,7789.1,55755,0.365616274,0.563052641,1339,0.0240157833,0.343238931,0.0119664938,0.0183087355,34228,0.661,0.6232,817,641,600,1,0.0431172092,0,160,0
경상북도 울릉군,3453.3,8996,0.45433145,0.660293464,223,0.024788795,0.0421374765,0.0463747646,0.0242467043,34638,0.813,0.6296,240,535,300,0,0.0833703868,6,23,0
경상북도 울진군,16180.7,47030,0.407361683,0.608547735,2352,0.0500106315,0.208230453,0.061911294,0.0426611797,31462,0.635,0.5917,806,1261,400,0,0.00255156283,0,14,0
경상북도 의성군,8636.7,50186,0.416520139,0.502769697,1198,0.0238711991,0.0772439174,0.0119402985,0.0249028828,32426,0.734,0.5985,1395,396,340,0,0.00597776272,0,68,68
경상북도 청도군,7646.8,41614,0.397897354,0.539265632,1681,0.0403950594,0.100160547,0.0146045885,0.0285359159,32474,0.739,0.5615,1571,899,290,0,0.0264334118,0,0,0
경상북도 청송군,9457.1,24295,0.419111484,0.539082116,677,0.027865816,0.0890192791,0.0124895222,0.0390611903,34866,0.818,0.697,296,384,140,0,0.0061741099,0,57,0
경상북도 칠곡군,29367.3,112487,0.354885706,0.702356717,5830,0.0518282113,0.463413633,0.0099725038,0.0471334181,74242,0.634,0.5871,24489,2211,350,0,0.00605403291,0,96,96
경상북도 포항시,101419.8,496650,0.332208996,0.684103493,10830,0.0218061009,0.561424678,0.0339257844,0.0451582846,36399,0.607,0.5334,40537,12190,900,0,0.00201349039,0,1986,275
광주광역시 광산구,55475.2,400654,0.323710264,0.74634223,23229,0.0579777064,0.728376926,0.0240617204,0.00431581311,38077,0.644,0.3025,49207,9953,740,0,0.00363405831,42,983,474
광주광역시 남구,24229.8,212379,0.329022752,0.67963405,2722,0.0128167098,0.673341471,0.0139983945,0.0110403677,36689,0.606,0.309,1039,3860,740,0,0.00386102204,11,194,250
