시군구,아파트,연립주택,다세대주택
전라남도 광양시,0.654586174,0.0379906168,0.0104294378
전라남도 구례군,0.100196464,0.0188426505,0.00884086444
전라남도 나주시,0.46894532,0.00662368804,0.00591611305
전라남도 담양군,0.115433606,0.0148604182,0.0140643244
전라남도 목포시,0.636172319,0.01521071,0.0149919258
전라남도 무안군,0.393784713,0.0122983338,0.00444326898
전라남도 보성군,0.117246722,0.0213024954,0.00497980413
전라남도 순천시,0.629867863,0.0130129693,0.00956553614
전라남도 신안군,0.000826153665,0.00230142807,0.0029505488
전라남도 여수시,0.553665171,0.0151943034,0.0118418545
전라남도 영광군,0.226181462,0.0381720191,0.0111353615
전라남도 영암군,0.305673991,0.0194735979,0.0108642178
전라남도 완도군,0.0982517318,0.024127044,0.0138070779
전라남도 장성군,0.187158239,0.024691358,0.00372061559
전라남도 장흥군,0.130601093,0.0302975106,0.00637522769
전라남도 진도군,0.0923178613,0.0204905993,0.0113836663
전라남도 함평군,0.0730467615,0.0135056637,0.00609933198
전라남도 해남군,0.170611743,0.0124671244,0.00433787615
전라남도 화순군,0.430035937,0.00983544543,0.00162663136
전라북도 고창군,0.142599429,0.0459808693,0.0128796778
전라북도 군산시,0.609394998,0.0264882908,0.00761008682
전라북도 김제시,0.286762646,0.0231639684,0.00506974399
전라북도 남원시,0.325943957,0.0119968704,0.007215509
전라북도 무주군,0.134447539,0.012906221,0.0196843083
전라북도 부안군,0.225289601,0.0122941725,0.0130486885
전라북도 순창군,0.117240791,0.0210607094,0.0093792633
전라북도 완주군,0.405077871,0.00510791727,0.00878862236
전라북도 익산시,0.559530232,0.0190065153,0.0244179773
전라북도 임실군,0.130055704,0.0126745782,0.00879954791
전라북도 장수군,0.0785864979,0.023628692,0.0117088608
전라북도 전주시,0.62263464,0.0142496067,0.0179154073
전라북도 정읍시,0.375,0.0102906085,0.00958752344
전라북도 진안군,0.0805010592,0.0395136778,0.00175002303
제주특별자치도 서귀포시,0.220495579,0.106329751,0.0680891619
제주특별자치도 제주시,0.269766839,0.0875984791,0.123108278
충청남도 계룡시,0.82900536,0.00613460393,0.0185824896
충청남도 공주시,0.350903004,0.0174417365,0.0221539905
충청남도 금산군,0.191535983,0.0216111708,0.0402577873
충청남도 논산시,0.308484357,0.0208502144,0.0202770806
충청남도 당진시,0.447795918,0.0223401361,0.0425714286
충청남도 보령시,0.368781807,0.0278070698,0.018545688
충청남도 부여군,0.150285574,0.0286975717,0.0259644697
충청남도 서산시,0.504176377,0.0204498442,0.0477206672
충청남도 서천군,0.165182431,0.0422358637,0.0350164275
충청남도 아산시,0.620982133,0.0105152396,0.024094758
충청남도 예산군,0.2902746,0.0320652174,0.0438787185
충청남도 천안시,0.610278492,0.0167609812,0.0350036346
충청남도 청양군,0.106616585,0.0190696331,0.0277376481
충청남도 태안군,0.196034627,0.0252722703,0.0560946663
충청남도 홍성군,0.402822337,0.0142046775,0.0372204399
충청북도 괴산군,0.0715036222,0.0118343195,0.0228391307
충청북도 단양군,0.184555985,0.0531274131,0.0195366795
충청북도 보은군,0.178346995,0.0155054645,0.0153688525
충청북도 영동군,0.174247215,0.0332246923,0.027241329
충청북도 옥천군,0.26106607,0.0213400429,0.0435653714
충청북도 음성군,0.420730254,0.0181133514,0.0388483722
충청북도 제천시,0.501315187,0.0281704482,0.0150185823
충청북도 증평군,0.572426249,0.0212522577,0.0126429862
충청북도 진천군,0.524346856,0.0308782923,0.0442332201
충청북도 청주시,0.596283511,0.0112385653,0.014439042
충청북도 충주시,0.485425986,0.0265993967,0.0406116717
